ID,DATE,PEAK_CURRENT,CHI_SQUARED,NUMBER_OF_SENSORS,HIT_GROUND,DISCHARGES,LAND_COVER,REL_HUMIDITY,AVG_REL_HUMIDITY_1_DAY,AVG_REL_HUMIDITY_3_DAY,AVG_REL_HUMIDITY_5_DAY,AVG_REL_HUMIDITY_10_DAY,AVG_REL_HUMIDITY_15_DAY,TEMPERATURE,AVG_TEMPERATURE_1_DAY,AVG_TEMPERATURE_3_DAY,AVG_TEMPERATURE_5_DAY,AVG_TEMPERATURE_10_DAY,AVG_TEMPERATURE_15_DAY,RAIN,SUM_RAIN_1_DAY,SUM_RAIN_3_DAY,SUM_RAIN_5_DAY,SUM_RAIN_10_DAY,SUM_RAIN_15_DAY,SOLAR_IRRADIANCE,SUM_SOLAR_IRRADIANCE_1_DAY,SUM_SOLAR_IRRADIANCE_3_DAY,SUM_SOLAR_IRRADIANCE_5_DAY,SUM_SOLAR_IRRADIANCE_10_DAY,SUM_SOLAR_IRRADIANCE_15_DAY,WIND,SUM_WIND_1_DAY,SUM_WIND_3_DAY,SUM_WIND_5_DAY,SUM_WIND_10_DAY,SUM_WIND_15_DAY
2104742,2016-09-03T14:05:14.950142Z,-8.2695,6.9,3,True,1,111,38.0,61.041666666666664,61.638888888888886,64.22083333333333,61.895833333333336,63.27916666666667,28.6,24.34375,22.895833333333332,22.362083333333324,22.377916666666675,22.189305555555556,0.0,0.0,0.0,0.3,0.3,2.4,118.0,10652.0,33231.0,56372.0,120122.0,187906.0,,,,,,
2104814,2016-09-03T14:58:30.877644Z,-17.5565,1.3,4,True,5,221,61.0,58.5,66.00694444444444,69.725,57.5,54.44305555555555,13.3,12.808333333333335,11.639583333333334,10.610000000000007,12.354374999999997,12.76263888888888,0.0,0.0,0.0,29.0,30.299999999999997,33.3,21.0,8750.0,30392.0,46818.0,109039.0,174405.0,3.4,96.20000000000002,229.59999999999997,346.2999999999998,755.7000000000002,1186.600000000001
2104697,2016-09-03T13:41:34.757811Z,-21.571,0.5,4,True,1,228,47.0,57.958333333333336,59.8125,65.45833333333333,58.94375,58.90555555555556,23.4,18.741666666666664,18.777083333333323,17.666666666666654,18.63895833333334,18.48236111111113,0.1,0.1,0.1,13.0,13.0,13.799999999999999,253.0,10556.0,31815.0,54794.0,123477.0,187936.0,7.0,94.90000000000003,284.49999999999983,476.6999999999999,981.9000000000001,1632.0000000000011
2104969,2016-09-03T15:40:00.442433Z,-7.1225,7.3,3,True,1,222,100.0,77.52083333333333,74.42361111111111,78.72916666666667,69.53333333333333,69.06666666666666,17.5,20.108333333333334,20.12291666666668,19.16541666666667,20.035624999999985,20.080833333333338,3.0,9.4,9.4,24.5,24.5,24.5,,,,,,,,,,,,
2105063,2016-09-03T16:19:48.881294Z,-14.1155,0.0,2,True,6,221,69.0,56.333333333333336,64.68055555555556,69.57916666666667,56.45625,55.359722222222224,13.4,14.179166666666669,13.366666666666667,12.277083333333334,14.302916666666674,14.46055555555557,0.3,0.3,0.3,4.0,13.1,15.899999999999999,3.0,6983.0,28355.0,48552.0,115204.0,181570.0,,,,,,
2104982,2016-09-03T15:46:23.430040Z,-8.14,0.0,2,True,1,222,100.0,69.5625,66.29166666666667,70.30833333333334,65.18333333333334,66.20138888888889,17.0,21.247916666666672,21.489583333333336,20.695000000000014,21.057291666666664,20.86111111111112,8.0,18.2,18.2,22.3,22.3,22.4,7.0,8768.0,33405.0,56766.0,114742.0,175051.0,3.3,56.10000000000001,175.49999999999994,300.80000000000007,597.6999999999997,885.2999999999997
2104810,2016-09-03T14:57:24.323031Z,-9.1205,1.9,3,True,1,228,54.0,55.416666666666664,64.86111111111111,69.775,56.239583333333336,55.2875,16.0,14.333333333333336,13.335416666666667,12.238750000000003,14.344791666666675,14.484305555555574,0.0,0.0,0.0,12.799999999999999,12.799999999999999,15.599999999999998,51.0,7310.0,28518.0,48611.0,116794.0,183073.0,,,,,,
2105123,2016-09-03T16:41:55.541799Z,-9.2685,0.1,3,True,3,221,80.0,56.9375,64.70833333333333,69.5875,56.55833333333333,55.38472222222222,10.9,14.075000000000003,13.358333333333336,12.282083333333333,14.284166666666671,14.45194444444446,6.0,6.3,6.3,7.4,19.1,21.9,25.0,6918.0,28316.0,48574.0,114892.0,181500.0,,,,,,
2104951,2016-09-03T15:32:32.956255Z,-15.577,6.7,3,True,1,221,100.0,77.52083333333333,74.42361111111111,78.72916666666667,69.53333333333333,69.06666666666666,17.5,20.108333333333334,20.12291666666668,19.16541666666667,20.035624999999985,20.080833333333338,3.0,9.4,9.4,24.5,24.5,24.5,,,,,,,,,,,,
2104811,2016-09-03T14:58:30.610422Z,-19.24,0.8,4,True,5,221,61.0,58.5,66.00694444444444,69.725,57.5,54.44305555555555,13.3,12.808333333333335,11.639583333333334,10.610000000000007,12.354374999999997,12.76263888888888,0.0,0.0,0.0,29.0,30.299999999999997,33.3,21.0,8750.0,30392.0,46818.0,109039.0,174405.0,3.4,96.20000000000002,229.59999999999997,346.2999999999998,755.7000000000002,1186.600000000001
3563641,2014-12-15T00:19:57.420146Z,-9.916,1.8,3,True,1,114,93.0,88.625,87.24305555555556,73.31666666666666,62.110416666666666,64.14583333333333,10.1,12.131250000000001,9.575694444444444,10.729583333333336,10.689583333333335,11.14125,10.6,13.8,14.0,14.0,14.0,53.900000000000034,0.0,1830.0,9657.0,20199.0,45720.0,58594.0,,,,,,
