Nº Servei,DATA,HORA,X,Y,NOM_FOC,REGIO,SUPERFÍCIE (HA),Observacions
170307807,21/06/2017,16:28:00,357867,4656505,Nuncarga (Peramola),RELL,"0,0000",; 
170307502,16/06/2017,14:51:00,329790,4642014,Alòs de balaguer,RELL,"0,0320",lloc innaccessible. Focus 1 cau brases i encen una altre punt mes avall; 
170220341,12/08/2017,12:36:00,491474,4648588,Juià,REG,"0,0500","; GRAFGi, 20093, 21130, 20830, 20036, 05020"
152700749,17/07/2015,20:11:00,331530,4726980,Val de Ruda,ARAN,"0,0010",localitzat dia 16 i etxingit dia 17 eines manuals i maer; 5032
152605007,19/07/2015,22:07:00,261734,4515291,La Senia- Punta del Boixet,RETE,"0,0005",
152604166,22/06/2015,20:37:00,287473,4536071,Benifallet,RETE,"0,0000",
152603827,10/06/2015,14:29:00,282535,4525201,Reguers,RETE,"0,0000",
152602493,16/04/2015,15:08:00,302647,4550304,Mora d'Ebre,RETE,"0,0000",en un canyar. No poen accedir pq llisca molt. Treball amb eines manuals; 
152416168,20/07/2015,14:48:00,390563,4603015,La Pobla de Claramunt-Els Mollons,REMS,"0,0300",
152416166,20/07/2015,14:31:00,372496,4600816,Sant Martí de Tous,REMS,"0,0000",nomes un  arbre; 
152411974,08/06/2015,14:42:00,381148,4597307,Orpí,REMS,"0,0020",un pi; 
152411969,08/06/2015,14:03:00,384249,4590146,Font-Rubi,REMS,"0,0060",
152411273,31/05/2015,15:59:00,379037,4590639,La Llacuna,REMS,"0,0004",
152411272,31/05/2015,15:17:00,377616,4592444,La Llacuna,REMS,"0,0010",
152411270,31/05/2015,14:51:00,371942,4599110,Bellprat,RET,"0,0000",
152308584,18/07/2015,18:58:00,310914,4637078,Ós de Balaguer,RELL,"0,0000",
152308537,17/07/2015,17:47:00,400368,4698079,Bellver de Cerdanya,REC,"0,0000",
152308104,08/07/2015,,393391,"4645297,2",Cardona,REC,"2,5000", les coordenades son les del llamp del dia 23/8; 
152307341,23/06/2015,19:36:00,379846,4649007,El Pi de Sant Just,RETE,"0,5000",
152306795,11/06/2015,17:44:00,394230,4646262,Viver i Serrateix,REC,"0,0000",
152306792,11/06/2015,15:31:00,394616,4635355,Navas,REC,"0,0000",
150408672,23/06/2015,15:01:00,367693,4598940,Santa Coloma de Queralt,RET,"0,0000",
150407861,09/06/2015,15:52:00,319571,4562057,Porrera,RET,"0,0000",
150407859,09/06/2015,14:58:00,316361,4560796,Gratallops,RET,"24,3000",
150407858,09/06/2015,14:54:00,339168,4572479,Mont-Ral,RET,"0,0000",
150407856,09/06/2015,14:45:00,322481,4561396,Porrera,RET,"0,0000",
150308408,17/07/2015,16:53:00,350636,4699110,Beraní,RELL,"0,0020",vist vespre dia 16 pero no trobat fins tarda 17; 
150306424,10/06/2015,13:03:00,366046,4683057,Els Hostalets de Tost,RELL,"0,0000",
150306340,08/06/2015,16:24:00,343141,4645180,Montmagastre,RELL,"0,0010",
150215584,17/07/2015,19:01:00,429237,4683343,Campelles,REG,"0,0010",un Z6 pel llamp; 
150213257,23/06/2015,7:50:00,481049,4674538,Maià de Montcal,REG,"0,0000",
143605233,19/07/2014,1:41:00,289744,4564632,Flix,RETE,"0,1800",
142607063,14/09/2014,16:25:00,295079,4521286,Tortosa,RETE,"0,0000",
142606867,06/09/2014,20:00:00,308777,4543071,Tivissa,RETE,"0,0500",L' ha detectat Marc passejant el gos
142606564,28/08/2014,22:21:00,309697,4541618,Tivissa,RETE,"0,0500","Punts de foc, no front"
142606348,22/08/2014,18:24:00,311482,4524336,L'Ametlla de Mar,RETE,"0,0000",
142606345,22/08/2014,15:32:00,277880,4542134,Horta de Sant Joan,RETE,"0,0000",Una soca
142605436,25/07/2014,7:02:00,297632,4560232,Vinebre,RETE,"0,0010","72230; VA,  Mas de Prades"
142604814,04/07/2014,7:19:00,243880,4499033,Ulldecona,RETE,"0,0000",Un arbre que crema per dins i ha trencat branques
142604753,01/07/2014,20:01:00,293251,4535720,Tivenys,RETE,"2,0000",
142604752,01/07/2014,20:00:00,283881,4500153,Ulldecona,RETE,"0,0020",
142604750,01/07/2014,18:52:00,289505,4536382,Benifallet,RETE,"0,0020",
142604749,01/07/2014,18:21:00,307509,4535421,Tivissa,RETE,"2,0000",
142604747,01/07/2014,16:18:00,289147,4573994,Riba-roja,RETE,"0,0100",
142604746,01/07/2014,17:55:00,296500,4543000,Miravet,RETE,"0,0000",
142604322,15/06/2014,16:55:00,306108,4540759,Tivissa,RETE,"890,0000",
142604303,15/06/2014,0:04:00,301508,4542847,Ginestar,RETE,"13,5000",
142604252,13/06/2014,8:07:00,274465,4547671,Caseres,RETE,"0,0060",
142602672,11/04/2014,16:26:00,288795,4497138,Ulldecona,RETE,"0,0000",
142518073,25/07/2014,11:17:00,415192,4602165,Viladecavalls,REMN,"0,0100",42030
142518071,25/07/2014,11:07:00,446849,4599625,Òrrius,REMN,"0,0100",40130
142518054,25/07/2014,9:07:00,440178,4594564,Alella,REMN,"0,0000",40230
142518044,25/07/2014,7:38:00,409440,4604993,Vacarisses,REMN,"0,0000",42030
142418665,08/09/2014,16:48:00,381662,4581166,Sant Martí Sarroca,REMS,"0,0000","Petit foc per un llamp, uns marges"
142415766,02/08/2014,15:37:00,400270,4604320,"Bruc, El",REMS,"0,0025",11022
142415755,02/08/2014,14:40:00,384930,4580940,Sant Martí Sarroca,REMS,"0,0000","50.41, 5.06.31, 5.11.30, 5.19.30"
142415752,02/08/2014,14:17:00,382014,4575900,Castellví de la Marca,REMS,"0,0000",5.18.30 i 5.18.31
142415750,02/08/2014,14:12:00,405649,4603082,Esparreguera,REMS,"0,0000",11236
142415746,02/08/2014,13:29:00,390857,4586317,Torrelavit,REMS,"0,0300",5.18.30
142415687,01/08/2014,16:55:00,380258,4595657,"Llacuna, La",REMS,"0,0100",Graf Bcn amb el 50.51
142415683,01/08/2014,16:23:00,388267,4593702,Mediona,REMS,"0,0005",10994
142415672,01/08/2014,12:54:00,389626,4602864,"Pobla de Claramunt,La",REMS,"0,0400",11175
142415671,01/08/2014,12:42:00,389367,4601029,"Pobla de Claramunt,La",REMS,"0,0015",10994
142415323,28/07/2014,11:24:00,396176,4608098,El Bruc,REM,"0,0000",
142415087,25/07/2014,10:41:00,383336,4613633,Rubió,REMS,"0,0000",50830; 04093
142415079,25/07/2014,9:55:00,372260,4598143,Bellprat,REMS,"0,0006",
142415067,25/07/2014,8:40:00,383599,4596696,Sta. Maria de Miralles,REMS,"0,0000",50930
142415066,25/07/2014,8:37:00,392277,4579843,La Granada,REMS,"0,0000","NO especifica res, va el  51831"
142415065,25/07/2014,8:30:00,419691,4581669,Sant Feliu de Llobregat,REMS,"0,0000",51540
142415063,25/07/2014,8:27:00,390751,4591475,Sant Quinti de Mediona,REMS,"0,0000",resolt AdF
142415048,25/07/2014,7:09:00,382788,4594721,Mediona,REMS,"0,0090",51830; Cremen uns pins aillats
142415045,25/07/2014,6:54:00,383572,4596696,Rofes -La Llacuna,REMS,"0,0300","50930;  ADF, Serra d'orpinell ""Les Berengueres"" diuen altre foc a la zona de vinyes"
142411349,13/06/2014,18:30:00,384976,4604188,Igualada,REMS,"1,8000",
142310626,31/08/2014,16:25:00,389695,4645182,Cardona,REC,"0,0150",
142309617,09/08/2014,1:44:00,421765,4620313,Granera,REC,"0,0000",1.11.31 Apagat per ADF 
142309616,09/08/2014,1:05:00,403462,4626664,Santpedor,REC,"0,0040",12693
142309614,09/08/2014,0:33:00,414464,4617730,Mura,REC,"0,0100",S'hi ha tornat a anar al matí el 09/09 (1.10.34 i 4.17.31)
142309336,02/08/2014,14:21:00,403404,4607228,Monistrol de Montserrat,REC,"0,0010",11232
142309303,01/08/2014,18:31:00,390469,4609290,Castellfollit del Boix,REC,"0,0000","1.06.30, no trobat"
142309302,01/08/2014,18:22:00,407569,4622706,Sant Fruitós de Bages,REC,"0,0015",12693
142309293,01/08/2014,16:03:00,403500,4672500,Vallcebre,REC,"0,0010",Apagat per ADF
142309064,27/07/2014,17:59:00,402763,4646607,Viver i Serrateix,REC,"0,0450",
142308941,25/07/2014,14:50:00,384885,4633454,Pinós- Vallmanya,REC,"0,0020",11330
142308935,25/07/2014,12:20:00,379401,4630487,Pinòs,REC,"0,0000",Apagat per agents Rurals
142308932,25/07/2014,12:16:00,408451,4618905,Pont de Vilomara i Rocafort,REC,"0,0000",11034
142308919,25/07/2014,10:23:00,388496,4637295,Cardona,REC,"0,0020",
142308912,25/07/2014,9:09:00,373511,4616418,Veciana,REC,"0,0000",paller
142308911,25/07/2014,8:49:00,390753,4610175,Castellfollit del Boix,REC,"0,0100",11030
142308910,25/07/2014,8:47:00,411590,4644728,Gaià- St.Esteve de Vilamaró,REC,"0,0030",11430
142308901,25/07/2014,7:36:00,414578,4631746,Avinyò,REC,"0,0000",11030
142308636,19/07/2014,14:42:00,392955,4638605,Cardona,REC,"0,5000",
142308524,17/07/2014,16:32:00,414788,4643656,Santa Maria de Merles,REC,"0,0300",al parte fica que és de llamp
142308162,19/07/2014,7:11:00,411466,4632375,Sallent,REC,"1,0000",
142307907,04/07/2014,19:16:00,426287,4642017,Muntanyola,REC,"0,0300","matolls i sotabosc al breeffing es comenta el fet que no es un llamp del dia sino de uns dies enrera, sense precissar."
142307805,02/07/2014,12:55:00,408403,4621009,Talamanca,REC,"0,0020",
142307804,02/07/2014,12:40:00,407343,4623081,Sant Fruitos de Bages,REC,"0,0005",
140413460,19/09/2014,6:35:00,321716,4571746,La Morera de Montsant,RET,"0,0030",Ha cremat una soca i un pi
140413363,25/07/2014,8:25:00,346450,4582250,Prenafeta,RET,"0,0000",5041
140413216,14/09/2014,13:43:00,350472,4596216,Forès,RET,"0,0040",ha cremat sotafosc
140413021,09/09/2014,18:53:00,337739,4562825,Maspujols,RET,"0,0300",
140411277,09/08/2014,19:05:00,359213,4595053,Sarral,RET,"0,0050",
140410886,02/08/2014,21:18:00,378754,4574206,St. Jaume dels Domenys,RETE,"0,0300",
140410856,02/08/2014,14:59:00,377733,4577030,"Montmell, El-Talaia",RET,"0,0389",50.51 i inspeccionat per Graf Bcn
140410854,02/08/2014,14:29:00,376258,4578972,"Montmell, El-Moixeta",RET,"0,1143",Graf Bcn amb el 50.51 i 6.13.34
140410401,25/07/2014,15:54:00,337834,4562231,Maspujols,RET,"0,0050",60830; 04093 i Graf BCN en el 50.51
140410399,25/07/2014,15:02:00,362532,4580538,El pont d'Armentera,RET,"0,8000",Confirmat es el servei del matí  va el 61334
140410396,25/07/2014,13:39:00,320455,4557770,Pradell de la Teixeta,RET,"0,0000",Sembla que es l'anterior tot i no estar relacionats
140410394,25/07/2014,13:27:00,324829,4562579,Alforja- Mas del Vicari,RET,"0,5000",15BL15
140410369,25/07/2014,9:45:00,376025,4581145,Pla de manlleu,RET,"0,0020",marge vinya 5051
140410368,25/07/2014,10:59:00,362532,4580538,El Pont d'Armentera,RET,"0,0000",
140410364,25/07/2014,8:41:00,358891,4588985,Sarral-  Serra de Comaverd,RET,"0,0050","Al despatx no especifica, crec que per emissora havien dit llamp."
140410362,25/07/2014,8:23:00,374713,4562204,El Vendrell,RET,"0,0000",5051
140410361,25/07/2014,8:23:00,370625,4575150,El Montmell,RET,"0,0000",
140410359,25/07/2014,8:03:00,325902,4565935,Arbolí,RET,"0,0002",Apagat per ADF
140410356,25/07/2014,7:57:00,375178,4563068,El Vendrell,RET,"0,0000",
140410355,25/07/2014,7:46:00,327269,4555849,Riudecanyes,RET,"0,0000",60530
140410351,25/07/2014,7:42:00,315863,4543537,Vandellòs ,RET,"0,0008",G00
140410350,25/07/2014,7:41:00,329855,4551477,Montroig del Camp,RET,"0,0020","Soca de pi, T310 pk14, va el 60530"
140410349,25/07/2014,7:38:00,340227,4565205,La Selva del Camp,RET,"0,0000","60830, 60130, 60092"
140410348,25/07/2014,7:35:00,347834,4575485,La Riba,RET,"0,0000",61330
140410346,25/07/2014,7:27:00,324511,4570731,Cornudella de Montsant,RET,"0,0000","No especifiquen si es llamp, ha costa trobar, va el 60730"
140410345,25/07/2014,7:26:00,331325,4560909,Riudecols,RET,"0,0050",17BL22 va el 60830
140410343,25/07/2014,7:22:00,318407,4555918,Falset,RET,"0,0000",4690
140410342,25/07/2014,7:16:00,345850,4571194,Alcover,RET,"0,0000",60130
140410336,25/07/2014,8:51:00,372145,4591118,Querol,RET,"0,0000",5071
140409983,19/07/2014,2:51:00,314030,4571116,Margalef,RET,"0,1500",Tgraf01
140310628,08/09/2014,4:27:00,320410,4629502,Vallfogona de Balaguer,RELL,"0,0000",
140308821,01/08/2014,18:13:00,340143,4599269,Rocallaura,RELL,"0,0005",3.31.30 diu crema un pi
140308813,01/08/2014,15:44:00,334100,4651192,Santa Maria de Meià,RELL,"0,0000","Plou a la zona, no veuen res"
140308501,25/07/2014,17:48:00,354225,4676522,Cabó,RELL,"0,0003",3.29.39
140308495,25/07/2014,15:45:00,334735,4591993,Fulleda,RELL,"0,0050", Graf Lleida en el 50.32 i  32030
140308476,25/07/2014,10:53:00,317818,4587159,Cervià de les Garrigues,RELL,"0,0000",
140308183,19/07/2014,14:42:00,368422,4626741,Ivorra,RELL,"1,0000",
140308158,19/07/2014,7:20:00,364554,4658132,Pampe,RELL,"0,0000",
140308156,19/07/2014,6:52:00,347665,4653722,La Baronia de Rialb,RELL,"0,0300",
140308149,19/07/2014,1:55:00,330750,4629775,Montgai,RELL,"0,0000",Sabem que és llamp perquè ho vam sentir per l'emissora
140308148,19/07/2014,1:42:00,319477,4655318,Ametlla del Montsec,RELL,"0,0000",Trobat el matí segünet per GRAF Lleida.
140308144,18/07/2014,23:16:00,322022,4640452,St Llorenç deMontgai,RELL,"0,0000",
140307420,02/07/2014,18:53:00,282729,4614612,Gimenells i el Plà de la Font,RELL,"0,0010",
140307414,02/07/2014,16:44:00,314897,4601448,Borges Blanques,RELL,"0,0000",
140215340,04/08/2014,16:33:00,505781,4643026,Fonteta,REG,"0,0020",
140215047,01/08/2014,19:49:00,511105,4642256,Palafurgell,REG,"0,0000","2.18.30 Plou a la zona, no l' han trobat"
140215044,01/08/2014,19:19:00,500792,4647591,"Cruïlles, Monells i Sant Sadurní de l' Heura",REG,"0,0001",2.04.30 sota la linia electrica
140214546,26/07/2014,11:55:00,493693,4669471,Pontòs,REG,"0,0005",21434; 21092; 21030
140211167,13/06/2014,14:47:00,470275,4639250,Brunyola,REG,"0,0005",
140211165,13/06/2014,14:44:00,493956,4620429,Tossa de Mar,REG,"0,0020",
140211163,13/06/2014,14:32:00,461545,4619380,Riells i Viabrea,REG,"0,0500",
19410221,22/06/2019,14:30:00,409978,4673295,La Nou de Berguedà,REC,"0,0050",
18241971,22/07/2018,16:02:00,387727,4573582,Santa Margarida i els Monjos,REMS,"0,0000",
6519626,03/09/2015,5:34:00,522898,4680929,Cadaquès,REG,"0,0100","GRAF, van al dia següent a mirar-ho.; "
5685413,29/07/2016,18:59:00,454509,4687977,Camprodon,REG,"0,0800","cau llamp i s'encen immdeiat ; 22130,5022,D0 ; Plou quan estabilitzat i s'aopaga"
5523609,02/08/2015,12:08:00,475464,4690064,Maçanet de Cabrenys,REG,"0,0001", GRAF G helitransportats amb 50.51
5421342,22/07/2016,14:09:36,512037,4660733,l'escala,REG,"0,0000",
5216439,14/08/2013,13:51:00,426554,4686900,Planoles,REG,"0,0000",; ; ; ripoll; 
4704368,29/07/2013,3:43:00,516975,4687550,ElPort de la Selva,REG,"0,0000","3 focus dalt del turo la pluja els apaga i de tant en tant revifa , dificil recerca; ; ; ; "
4311733,16/07/2013,19:28:00,471737,4657500,Granollers de Rocacorba,REG,"0,0000",; ; ; ; 45AS-12
4157236,11/07/2013,15:25:00,476180,4622040,Maçanet de la Selva,REG,"0,0000",; ; ; ; 46AZ12
4138304,31/08/2015,20:31:00,342074,4587891,L'espluga de francolí,RET,"0,0060",; 
4136113,31/08/2015,19:47:00,322301,4564185,Porrera ,RET,"0,0010",; 
4134652,31/08/2015,19:27:00,340422,4592194,Senan,RET,"0,0000",matolls s'ho fan sols; 
3565570,01/09/2012,18:07:00,36177,4701014,Montferrer i Castellbó,RELL,"0,2800","- - -  TGRAF01, BRAF01, …"
3515166,29/08/2012,18:16:00,382097,4696213,Bescaran - Estamariu,RELL,"0,0450",- 27AK18- 27AK18-  GRAF Lleida
3498730,28/08/2012,17:41:00,353157,4980196,Taús- La guardia d'Ares,RELL,"0,2000",- 21AN24- 21AN24- portàtils de graf Lleida GRAF Lleida i Tarragona
3493617,28/08/2012,11:17:00,359102,4702915,Romadriu,RELL,"0,0150","- 22AJ15- 22AJ15- 05071 com graf tarragona,33030 Graf tarragona"
3488138,28/08/2012,6:56:00,335346,4699467,Torre de Cabdella,RELL,"0,0020",- 18AK01- 18AK01- 04391 Graf lleida
3460047,13/08/2013,16:34:00,339177,4575636,Farena,RET,"0,0000",combustible fi i alguna soca de gruixut de 100h. Superfície baixa intensitat; ; ; graf  tarragona-Naranjo; 
3281780,31/08/2015,21:29:00,342386,4691758,Soriguera,RELL,"0,0000",; 
3279251,28/07/2012,20:42:00,317869,4546075,Pratdip,RET,#VALUE!,"- - - 04690, 04691, 04093, 04491, 12191 : total 22 vehicles "
3221634,17/08/2013,9:09:00,365122,4604622,Talavera,RELL,"0,0000",; ; ; cervera; 
3189370,06/08/2012,14:38:00,374491,4670551,Vansà - El Prat de Casalí - Figols i Alinya,RELL,"0,0020",Una soca a una tartera- - -  SEU
3160152,16/08/2013,18:31:00,335477,4624574,Castellserà,RELL,"0,0000",Està a la banda oest del canal de reg; ; ; ; 
3147003,16/08/2013,19:25:00,342592,4659295,Isona Conca Dellà,RELL,"0,0000",
3067379,05/08/2012,21:51:00,350458,4696006,Sort,RELL,"0,0000",
3066649,05/08/2012,17:10:00,336916,4677844,Pessonada - Conca de Dalt,RELL,"0,0000",
3000539,01/08/2012,14:03:00,370908,4675222,Ossera,RELL,"17,0000",Llamp del 27/6 (5 dies)- - -  
2977165,06/08/2013,20:04:00,338005,4680558,Hortoneda,RELL,"0,0000","dia 07/08 matí. GRAFLL comunica comportament cap: 20-30cm, flancs imperceptible; ; ; rurals el detecta, al vespre, dia 7/08 helitransportats; 18AN22"
2915803,27/07/2012,20:13:00,336405,4672676,Pessonada-Conca de dalt,RELL,"0,0050",crema un pi- - - 33090333303153100000 
2915439,03/08/2013,14:09:00,352368,4669580,Coll de Nargó,RELL,"0,0000", ha plogut i es difícil de localitzar; 21AQ03
2904847,03/08/2013,9:00:00,378601,4692718,Estamariu,RELL,"0,0000",; ; ; els mateixos habitants han apagat el foc; 
2894984,26/07/2012,17:55:00,386782,4676272,Josa i Tuixén,RELL,"0,0000",Superfície baixa intensitat.- - -  
2875659,18/07/2013,2:25:00,374894,4561147,El Vendrell,RET,"0,0000",; ; ; s'apaga sol; 
2807694,03/08/2015,15:15:00,279831,4583163,Seròs,RELL,"6,5000",
2805503,03/08/2015,13:00:00,369834,4622370,Castellfollit de Riubregós,REC,"0,0020",
2802974,07/07/2012,9:21:00,323890,4551100,Colldejou,RETE,"0,0034","superfície baixa intensitat, fullarca, cap antorxeig- 15BN24- 15BN24- 04690, E0, 60230, 60431, 5061 "
2764260,12/07/2013,15:26:00,366331,4576925,Vila-Rodona,RET,"0,0000",; ; ; graftarr; 24BI-17
2762799,12/07/2013,14:40:00,371035,4582073,Aiguamúrcia,RET,"0,0000",FUM BLANC ENTRANT A MASSA FORESTAL; ; ; grafBarcelona; 25BH-12
2748554,11/07/2013,18:49:00,353912,4586621,Barberà de la Conca,RET,"0,0000",fum blanc. ; ; ; graf bcn; 21BG-19
2748189,11/07/2013,18:30:00,361072,4580077,Pla de Santa Maria,RET,"0,0000",sotabosc. Descàrregues MAER; ; ; ; 23BH-22
2747458,11/07/2013,17:58:00,374072,4576464,Montmell,REMS,"0,0000",; ; ; portàtil GRAF TGN; 25BI-20
2745632,11/07/2013,16:02:00,352949,4601519,Vallfogona de Riucorb,RELL,"0,0000","(0,5ha sembrats); ; ; graf bcn; 21BD-18"
2712396,06/07/2014,18:37:00,353449,4602613,Vallfogona de Riucorb,RETE,"0,0010",
2603522,18/07/2013,6:27:00,339536,4596253,Omells de na Gaia,RELL,"0,0000",; ; ; s'apaga sol; 
2541068,23/07/2015,12:28:48,343496,4595361,Montblanquet,RELL,"0,0100","AVAs de ruta fan dues descàrregues, superfície baixa intensitat; 61130, 04390,.."
2499430,25/07/2016,19:16:00,384830,4694193,Aristot,RELL,"0,0040","2n llamp a la mateixa zona ;  ; Helitransportat Graf Ll, LD i descarregues del 5032"
2484455,24/07/2016,20:58:00,387472,4694157,Aristot,RELL,"0,0000","llamp del dia 22. El llamp es veu el 24 pero es troba i apaga el 25 a les 15.30h ;  ; Helitransportat Graf Ll, LD i descarregues del 5032"
2478977,24/07/2016,13:31:00,350887,4655682,Pallerols,RELL,"0,2000",llamp de 2 dies
2468051,05/06/2016,18:25:00,313400,4572280,Margalef,RET,"0,1000",13BJ14 ;  helitransportat graf i bombers
2386933,13/07/2013,19:20:00,359750,4628850,Massoteres,RELL,"0,0000",; ; ; ; 22AY-10
2324477,10/07/2013,22:13:00,299751,4636153,Ivars de Noguera,RELL,"0,0000","2 focus, pendent d'acabar el remat.; ; ; Graf Lleida; 11AW13"
2268229,08/07/2013,18:52:00,362011,4622912,Sant Ramon,RELL,"0,0000","EN UN CAMP; ; ; GRAF LLEIDA, G03; 18AW18"
2243396,11/07/2016,14:12:00,312184,4661124,Alsamora (St. Esteve de la Sarga),RELL,"0,0150","0.43.90, 0.50.32 ; "
1756527,19/06/2016,12:11:00,323284,4581113,La Pobla de Cervoles,RELL,"0,0070",crema m.orgànica ; 32030 ; 
1515495,05/05/2012,,369761,4588656,Querol,RET,"0,1000",Al dia seguent fan inspecció i el troben ja fred i apagat- - -  graf tarraco
1428535,04/05/2012,,314963,4712264,Senet de Barraves,RELL,"0,0020",una soca; al dia següent el volen i el piquen- 14AH-18- 14AH-18- 50.08 i 0.43.90 lleida i Bcn
632096,13/07/2013,19:08:00,408421,4642143,Galera\Gaià,REC,"0,0000",descàrrega HTC. Extingeix; ; ; ; 32AV-14
,19/07/2019,19:16:00,328085,4727325,Salardú,ARAN,"0,0100",
,08/08/2013,,494665,4627395,Solius,REG,"0,0000",; ; ; 22830; 49AY15
,27/06/2012,21:18:00,313159,4568319,cabacés - montsant,RETE,"0,0000","tempesta seca, FS 400m- 13BK14- 13BK14-  "
,27/06/2012,,310846,4570642,la bisbal de falset,RETE,"0,0600",controlat- 13BJ21-22- 13BJ21-22-  60092
,01/07/2012,12:54:00,294471,4537285,Benifallet,RETE,"0,0100",- 09BQ-15- 09BQ-15-  
,01/07/2012,13:29:00,300944,4522944,Camarles,RETE,"0,0025",- 11BT-11- 11BT-11- 7.21.30 Amposta
,01/07/2012,13:39:00,287525,4539920,Pinell de brai,RETE,"0,0025",Los aligars. Entre Barranc de Titot i Canaletes- 08BQ-03- 08BQ-03-  graf tarragona
,01/07/2012,14:34:00,290419,4559011,Fatarella,RETE,"0,0015",Prop de Los Canyerets- 09BM-01- 09BM-01- 7.30.32 
,01/07/2012,16:25:00,360262,4576020,Vila- Rodona,RET,"0,0004",llamp que cau a prop de l'autopista- 23BI-16- 23BI-16- 261530 261530
,01/07/2012,17:55:00,404284,4588774,Gelida,REMS,"0,0020",llamp caigut en un arbre- 31BG-10- 31BG-10- 50631 
,01/07/2012,19:30:00,289477,4535562,Benifallet,RETE,"0,0200","- 08BQ-25- 08BQ-25-  graf tarragona, graf 00. benifallet"
,02/07/2012,11:57:00,321932,4548445,Pratdip,RETE,"0,0500","superfíciebaixa intensitat,long flama0.5-1m- 15BO-07- 15BO-07-  GRAF TARRAGONA"
,30/08/2012,15:30:00,326710,4546231,Montroig. Golf Bonmont,RET,"0,0000",- - -  Posició 0.40.90
,03/06/2011,16:18:00,282924,4535051,Paüls,RETE,"0,0000",
,04/06/2011,7:09:00,491539,4687065,Biure,REG,"0,0008",Ctra. De l'Escaules- - la Jonquera- 
,04/06/2011,8:46:00,510607,4688445,Vilajuiga,REG,"0,0020",1 soca - Llançà- 
,29/06/2011,1:07:00,302597,4553601,Mora la Nova,RETE,"0,0000",- - Mora i Ascó- 
,29/06/2011,0:26:00,293224,4596553,Torres de Segre,RELL,"0,0000",- - Seròs i Lleida- 
,03/07/2011,12:50:00,335693,4657535,Gavet de la Conca,RELL,"0,2000",- - GLL i GB- 
,04/07/2011,15:03:00,292139,4555039,La Fatarella,RETE,"0,1300",- - GT- 
,04/07/2011,13:58:00,388226,4662236,Navès,REC,"0,0020",1 soca - Solsona- 
,04/07/2011,16:35:00,347671,4588958,Blancafort,RET,"0,5000",- 3 BRP- - 20BG08
,05/07/2011,12:40:00,296026,455427,Mora d'Ebre,RETE,"0,1000",- 2 GRAF 3 BRP(helitransportats)- UT I GT- 10BN05
,07/07/2011,17:09:00,266365,4509442,La Sénia,RETE,"0,0000",- - - 
,12/07/2011,22:05:00,330343,4656854,Lliminana,RELL,"0,0000",- - GLL- 17as16
,12/07/2011,21:45:00,395437,4607542,bruc,REMS,"0,0000",- - GB- 
,12/07/2011,21:13:00,367000,4669582,Fígols i Alinyà,RELL,"0,0000",
,12/07/2011,23:51:00,500909,4627238,Sant Feliu de Guíxols,REG,"0,0200",
,12/07/2011,21:22:00,414289,4636981,Avinyó,REC,"0,0800",- - - 33AW-14
,12/07/2011,22:47:00,291168,4543193,Pinell de Brai,RETE,"0,0100",
,12/07/2011,21:34:00,425958,4650657,Olost,REC,"0,0015",- - - 36AT-21
,12/07/2011,21:48:00,399137,4609583,Marganell,REC,"0,0025",- - - 30BC-05
,13/07/2011,16:18:00,50517,4692109,Vilamaniscle,REG,"0,2000",- - Girona- 52AL-11
,13/07/2011,16:34:00,301561,4641071,Camporrells,Arago,"0,0000",
,13/07/2011,16:17:00,309492,4584230,Torms (La granadella),RELL,"0,2000",- - - 12BH05
,13/07/2011,17:14:00,366731,4652028,Castellar de la Ribera,REC,"0,2000",- - - 24AT12
,13/07/2011,12:25:00,317991,4569274,Morera de Montsant,RETE,"0,0000",- 1 BRP i 1 GRAF (helitransportats)- GT- 14bk03
,14/07/2011,13:47:00,274710,4548155,Batea,RETE,"0,1300",- - GAND02- 
,04/08/2011,13:02:00,388010,4601642,Pobla de Claramunt,REMS,"0,0519",- - GB ( Herrera-Emili)- 28BD19
,05/08/2011,16:23:00,275321,4529271,Horta de Sant Joan,RETE,"0,0015",Mas de la Franqueta- 1 BRP i 1 GRAF (helitransportats)- GT (Horta)- 06BS01
,13/08/2011,14:43:00,276252,4540395,Horta de Sant Joan,RETE,"0,0000",- - Horta- 06BQ01
,13/08/2011,15:45:00,272083,4531980,Horta de Sant Joan,RETE,"0,0010",- - Horta- 05BR13
,13/08/2011,17:42:00,305877,4541235,Tivissa,RETE,"0,0625","- - GT (tivissa,Mora)- 12BP16"
,28/08/2011,19:35:00,290270,4494719,Montsianell,RETE,"0,0004","D0 ha donat la posició, un bombarder ho ha matat- - Bombarder- 09BZ01"
,29/08/2011,18:21:00,272026,4508534,La Sènia,RETE,"0,8000","Valldebous- 4 GRAF i 4 BRP- GT, GUT, GL- 05BW07"
,20/10/2011,12:57:00,405097,4686161,Urús,REC,"0,0007","Cara nord, columna intermitent,.- 3 BRP- Bellver, Alp, Guardiola- 32AM-16"
,06/06/2010,9:11:00,306319,4566521,Cabacés,RET,"0,0000",
,06/06/2010,10:00:00,281875,4540325,Prat de Compte,RETE,"0,0000",
,06/06/2010,19:28:00,286800,4491400,Alcanar,RETE,"0,0100",
,06/06/2010,19:10:00,270920,4502118,Sènia,RETE,"0,0036",
,19/07/2010,18:32:00,407283,4654368,Gironella,REC,"0,0000",llamp que ha encés una línia elèctrica. No l'han trobat.- - 
