Nº Servei,DATA,HORA,X,Y,NOM_FOC,REGIO,SUPERFÍCIE (HA),Observacions
13/24/15835,29/07/2013,2:12:00,414300,4570300,Gavà- Begues,REMS,"0,0000","Bruguers- Can Espinòs; ; ; 5.01.90, no el troben; "
13/24/15831,29/07/2013,1:53:00,396721,4576581,Avinyonet de Penedès- Olerdola,REMS,"0,0000",
13/24/15307,22/07/2013,15:24:00,372963,4596496,Santa Maria de Miralles,REMS,"0,0000",BRPs no poden arribar degut a camins enpantanegats..ha embarrancat un camió; ; ; EPAF I bombers amb eines manuals; 25BE18
13/24/14563,13/07/2013,22:10:00,368145,4609598,Montmaneu,REMS,"0,0000",; ; ; ; 24BC-04
13/24/14363,11/07/2013,17:54:00,376129,4585839,Pontons,REMS,"0,0000",extingeix ADF; ; ; ; 26BG22
13/24/14357,11/07/2013,17:03:00,397648,4574181,Olivella,REMS,"0,0000",; ; ; ; 30BJ-03
13/24/14350,11/07/2013,16:39:00,403244,4580794,Olesa de Bonesvalls,REMS,"0,0000",; ; ; ; 31BH-24
13/24/14348,11/07/2013,16:32:00,401927,4591567,Sant Llorenç d'Hortons,REMS,"0,0000",crema somort; ; ; ; 31BF-17
13/24/14344,11/07/2013,16:26:00,404428,4587430,Gelida,REMS,"0,0000",zona agrícola; ; ; ; 31BG-15
13/24/14342,11/07/2013,16:21:00,406793,4596628,Abrera,REMS,"0,0000",; ; ; ; 32BE-17
13/24/14335,11/07/2013,16:12:00,402323,4595675,Masquefa,REMS,"0,0000",zona agrícola; ; ; ; 31BE-03
13/24/14334,11/07/2013,16:09:00,390734,4611862,Castellfollit del Boix,REC,"0,0000",entre maians i castellfollit del boix; ; ; ; 29BB-16
13/24/14328,11/07/2013,15:55:00,402005,4595973,Masquefa,REMS,"0,0000",foc a la capçada d'un pi; ; ; ; 31BE23
13/24/12331,21/06/2013,18:50:00,391401,4600247,La Pobla de Claramunt,REMS,"0,0000","Sota un pi, EM; ; ; 50230; 29BD22"
13/24/12310,21/06/2013,16:47:00,393190,4595913,Piera - Badorc,REMS,"0,0000",; 51130; ; ; 29BE24
13/23/11814,06/09/2013,14:44:00,413954,4618805,Mura,REC,"0,0000",0.44.91; 
