ID,DATE,PEAK_CURRENT,CHI_SQUARED,NUMBER_OF_SENSORS,HIT_GROUND,DISCHARGES,LAND_COVER,REL_HUMIDITY,AVG_REL_HUMIDITY_1_DAY,AVG_REL_HUMIDITY_3_DAY,AVG_REL_HUMIDITY_5_DAY,AVG_REL_HUMIDITY_10_DAY,AVG_REL_HUMIDITY_15_DAY,TEMPERATURE,AVG_TEMPERATURE_1_DAY,AVG_TEMPERATURE_3_DAY,AVG_TEMPERATURE_5_DAY,AVG_TEMPERATURE_10_DAY,AVG_TEMPERATURE_15_DAY,RAIN,SUM_RAIN_1_DAY,SUM_RAIN_3_DAY,SUM_RAIN_5_DAY,SUM_RAIN_10_DAY,SUM_RAIN_15_DAY,SOLAR_IRRADIANCE,SUM_SOLAR_IRRADIANCE_1_DAY,SUM_SOLAR_IRRADIANCE_3_DAY,SUM_SOLAR_IRRADIANCE_5_DAY,SUM_SOLAR_IRRADIANCE_10_DAY,SUM_SOLAR_IRRADIANCE_15_DAY,WIND,SUM_WIND_1_DAY,SUM_WIND_3_DAY,SUM_WIND_5_DAY,SUM_WIND_10_DAY,SUM_WIND_15_DAY
1816345,2017-07-23T16:58:53.962522Z,-7.918,6.3,2,True,1,225,72.0,70.33333333333333,70.65277777777777,69.93333333333334,69.66458333333334,70.0375,23.4,24.620833333333334,24.24861111111112,24.567083333333326,24.931458333333318,25.02444444444444,2.4,2.4,2.4,2.4,2.4,2.4,6.0,10539.0,32840.0,62259.0,132440.0,207360.0,4.8,112.0,273.09999999999997,496.6999999999998,1027.499999999999,1442.200000000002
1816959,2017-07-23T17:19:27.863396Z,-6.364,0.9,3,True,1,228,84.0,79.16666666666667,80.48611111111111,75.52083333333333,75.575,75.81527777777778,20.5,21.95,20.69791666666667,21.594166666666663,21.951041666666683,22.103472222222223,4.8,4.8,6.8,6.8,7.8,7.8,,,,,,,1.8,39.79999999999999,115.4,213.9,448.3999999999999,678.4999999999997
1811312,2017-07-23T15:11:20.484431Z,-8.473,1.3,3,True,1,224,85.0,63.145833333333336,65.4375,63.31666666666667,60.59166666666667,61.71527777777778,17.3,25.656249999999996,25.59861111111113,26.035833333333343,26.65666666666667,26.59374999999999,7.5,8.5,8.5,8.5,8.5,14.4,5.0,6510.0,22767.0,45675.0,119994.0,189764.0,,,,,,
1819421,2017-08-01T12:06:43.766961Z,-8.806,1.7,4,True,1,115,65.0,80.95833333333333,77.61805555555556,77.80833333333334,70.86458333333333,72.19305555555556,27.9,25.795833333333334,25.190972222222232,25.36291666666665,24.422916666666673,24.52097222222224,0.2,0.2,0.2,0.2,33.2,34.400000000000006,198.0,8364.0,35286.0,60583.0,125716.0,178785.0,,,,,,
1831017,2017-08-10T15:40:19.350211Z,-130.647,1.9,5,True,2,222,76.0,74.10416666666667,63.9375,60.895833333333336,64.18958333333333,65.97916666666667,19.7,18.07291666666667,21.44027777777777,23.53333333333332,25.146666666666682,25.07680555555558,1.7,3.1,4.8999999999999995,5.1,5.1,5.1,26.0,8187.0,24676.0,51901.0,114074.0,185018.0,,,,,,
1832081,2017-08-15T13:25:33.085875Z,80.845,1.3,5,True,1,221,24.0,60.645833333333336,64.63194444444444,66.7875,69.55416666666666,66.11527777777778,28.9,19.035416666666663,18.68472222222223,16.98791666666666,17.872916666666654,19.69708333333335,0.0,0.0,0.0,0.0,18.300000000000004,18.500000000000004,,,,,,,,,,,,
1832466,2017-08-15T16:22:54.771794Z,-8.991,0.9,4,True,2,111,63.0,51.208333333333336,55.173611111111114,57.84166666666667,62.06041666666667,58.58611111111111,24.8,22.262500000000003,21.910416666666666,20.156249999999996,20.300416666666656,22.508333333333336,2.1,2.1,2.1,2.1,3.8000000000000003,4.300000000000001,34.0,12953.0,42075.0,70798.0,131251.0,194057.0,,,,,,
1832591,2017-08-15T16:42:12.307045Z,-11.5625,0.7,3,True,1,221,59.0,51.25,56.833333333333336,58.295833333333334,61.38125,58.30833333333333,23.7,23.118750000000002,22.888194444444437,21.50791666666668,22.00624999999999,23.929166666666635,2.3,2.3,2.3,2.3,10.1,10.8,16.0,13100.0,43609.0,72063.0,130326.0,195177.0,4.5,95.60000000000001,303.99999999999994,543.4000000000001,1145.2000000000003,1666.5999999999988
1832822,2017-08-15T17:13:14.519907Z,-24.42,0.8,4,True,2,224,77.0,55.625,58.951388888888886,60.50416666666667,61.71041666666667,59.24583333333333,24.0,22.881249999999998,23.177777777777777,22.056250000000023,22.991041666666646,24.618611111111083,2.6,2.7,2.7,2.7,8.8,10.0,,,,,,,,,,,,
1832489,2017-08-15T16:29:05.643626Z,6.5305,4.6,2,True,1,221,48.0,52.895833333333336,56.86805555555556,58.09166666666667,60.34166666666667,59.173611111111114,27.8,21.781249999999996,22.059722222222227,21.052083333333325,21.83875,23.428055555555577,0.9,0.9,0.9,0.9,3.0,4.000000000000001,,,,,,,,,,,,
